Archivo,Algoritmo,Tiempo(s)
Concat24,Xshift,19.44
Concat48,Xshift,33.45
Concat120,Xshift,65.51
Concat192,Xshift,122.85
Concat240,Xshift,151.35
Concat24,Phenograph,38.09
Concat48,Phenograph,90.16
Concat120,Phenograph,242.69
Concat192,Phenograph,498.12
Concat240,Phenograph,631.23
Concat24,FlowSOM,44.66
Concat48,FlowSOM,47.85
Concat120,FlowSOM,51.33
Concat192,FlowSOM,51.50
Concat240,FlowSOM,52.48
Concat24,FlowMeans,4.80
Concat48,FlowMeans,9.26
Concat120,FlowMeans,40.60
Concat192,FlowMeans,89.26
Concat240,FlowMeans,118.65
